Date	airTmean	airTmax	airTmin	Radiation	VP	Veg	CO2
2015-04-25	0.6	5	-3.5	NaN	4.8	0	397.6634890625
2015-04-26	1.6	3.7	-0.3	NaN	5.9	0	397.781968229167
2015-04-27	3.2	9.8	0.2	NaN	6	0	396.771765043478
2015-04-28	4.1	10.9	-1.5	NaN	4.8	0	397.1170953125
2015-04-29	1.7	7.4	-3.6	NaN	4.8	0	397.594874833333
2015-04-30	2	8.2	-5.6	NaN	4.5	0	396.952880729167
2015-05-01	4.2	8.9	1.9	NaN	7.1	0	395.396557291667
2015-05-02	4.4	8.7	-0.7	NaN	6.3	0	396.158803645833
2015-05-03	3.4	10.2	-3.3	NaN	4.5	0	397.810966479167
2015-05-04	3.6	10.7	-4.5	NaN	4.6	0	397.353604354167
2015-05-05	5.2	8.4	0	5.6	6.8	1	397.019680681818
2015-05-06	8.4	11.8	4.7	5.7	9.2	1	398.5044756875
2015-05-07	10.1	16	3.6	19.6	8.9	1	398.451309895833
2015-05-08	6.1	11.4	1.8	7.6	8.2	1	396.749290625
2015-05-09	5.7	13.4	-1.3	11.3	6.5	1	397.974068229167
2015-05-10	5.1	12.2	-3	11	5.5	1	396.794178645833
2015-05-11	5.9	14	-1.9	16.4	6.4	1	396.693061979167
2015-05-12	8.6	15	2.5	13.5	8.7	1	396.034863541667
2015-05-13	7.1	10.1	2.5	7.2	8	1	396.89872468
2015-05-14	5.2	8.8	0.7	15.9	5.6	1	401.40621840625
2015-05-15	3.5	7.6	0.7	8.4	6	1	397.254623529412
2015-05-16	3.5	8	-2.9	12.8	4.7	1	397.424230041667
2015-05-17	3.1	8.5	-3.6	9.5	5.2	1	396.6395881875
2015-05-18	5.7	10.6	2.4	9.8	6.7	1	396.434881212766
2015-05-19	5.8	11.4	1.1	15.3	7.1	1	397.415386979167
2015-05-20	4.6	7.6	1	5.9	8	1	396.120004854167
2015-05-21	6.8	13	-0.3	14.4	7.5	1	396.682496520833
2015-05-22	8	15.8	-0.9	17.5	7.8	1	396.608194604167
2015-05-23	6.1	11.9	2.4	11.2	7.2	1	397.882694270833
2015-05-24	8	15.6	1.2	21.8	5.3	1	397.091964229167
2015-05-25	6.3	9.3	3.3	5.9	8.4	1	397.173073791667
2015-05-26	8.2	12	6.3	7.5	10	1	395.612375875
2015-05-27	7.5	9.8	5.3	6.5	9.3	1	396.795468916667
2015-05-28	8.7	15.1	2	14.7	6.8	1	396.369417875
2015-05-29	6.8	10.8	0.3	11.3	8.4	1	395.923576041667
2015-05-30	10.5	16.4	2.6	24.4	7.3	1	395.008278291667
2015-05-31	8.1	11.2	5.9	10.7	8.6	1	396.703122729167
2015-06-01	7.5	10.4	4.9	7.4	9.4	1	393.9598796875
